model,parameter,p16,p50,p84
no_bulge,log10_m_baryon,11.291740364952402,11.368771372616186,11.430525280263923
no_bulge,disk_scale_radius_kpc,0.44271368930576915,0.44844464283944246,0.4540368796624575
no_bulge,log10_m200,12.96947051669376,12.988223173723442,12.996826132273345
no_bulge,source_x_arcsec,-0.023631074469722797,-0.022677972002714018,-0.021730699098909144
no_bulge,source_y_arcsec,-0.05787920006985071,-0.05658634943196241,-0.05523721804491185
no_bulge,flux_normalization,0.697265747873016,0.701182616498989,0.7052933066053965
no_bulge,inclination_deg,11.739288867304754,12.548360352575878,13.594183622973809
no_bulge,position_angle_deg,59.30335439886844,59.508797702054615,59.71211685484438
no_bulge,surface_brightness_scale_arcsec,0.14247033516401886,0.14308979524260604,0.1437182913941664
no_bulge,velocity_dispersion_center_kms,62.98491101528855,63.407362160240815,63.81437898598835
no_bulge,velocity_dispersion_scale_arcsec,1.9847540638223247,1.993582793818256,1.9982904979056082
no_bulge,systemic_velocity_kms,18.205604768794995,18.597417051555343,18.982798043812128
no_bulge,einstein_radius_arcsec,1.5629139335936246,1.565302181618282,1.5673285857755097
no_bulge,lens_axis_ratio,0.782563050802869,0.7890368486859305,0.7956127634335056
no_bulge,lens_position_angle_deg,152.9461136533619,153.54175219878616,154.0957114247414
no_bulge,log10_external_shear,-1.9603399570487696,-1.8999770225919015,-1.8472656206166784
no_bulge,external_shear_position_angle_deg,7.0173708369856165,14.14586476014033,21.94207681421402
no_bulge,external_convergence,-0.19976012047304054,-0.19906932830816762,-0.19764219558915355
bulge,log10_m_baryon,11.928297267563007,11.957966093543106,11.98394337750015
bulge,disk_scale_radius_kpc,1.2588114722973225,1.3442612114634565,1.4207990936756763
bulge,log10_m200,10.519623172168668,11.374219671494112,12.24806707180012
bulge,bulge_to_total,0.24478713407257882,0.2641651595913688,0.2858940772407302
bulge,bulge_effective_radius_kpc,0.42057857073233934,0.46918797122332356,0.5180516186534333
bulge,source_x_arcsec,-0.021879318961488183,-0.021026003540458277,-0.020185995437168265
bulge,source_y_arcsec,-0.05323162714423564,-0.05232041354156332,-0.05138088910504548
bulge,flux_normalization,0.6873157245491929,0.6912719282828774,0.6952808314867112
bulge,inclination_deg,10.025446791471293,10.094580182258781,10.217844728771741
bulge,position_angle_deg,58.93681769765974,59.13633480508914,59.33085523054918
bulge,surface_brightness_scale_arcsec,0.14363097091856997,0.1442613908061165,0.14485295249121388
bulge,velocity_dispersion_center_kms,66.95631263125847,67.36117699120354,67.78140556753601
bulge,velocity_dispersion_scale_arcsec,1.9745287750255447,1.9895332412357598,1.9973018184164872
bulge,systemic_velocity_kms,19.724569595226583,20.092497209910565,20.449669727041687
bulge,einstein_radius_arcsec,1.5552971966316076,1.557729077713193,1.5596360716463926
bulge,lens_axis_ratio,0.7976519445191841,0.801842911905274,0.8058903389115397
bulge,lens_position_angle_deg,155.43139566108684,156.0733097871376,156.59891014233727
bulge,log10_external_shear,-1.7785533106861628,-1.7337671789674496,-1.7044396264645274
bulge,external_shear_position_angle_deg,25.930699554346372,28.83150134742942,31.633412141731515
bulge,external_convergence,-0.19970793336686685,-0.19889431495346468,-0.19732519663593434
