name,bulge_to_total,bulge_effective_radius_kpc,disk_mass_msun,bulge_mass_msun,has_dark_matter,halo_mass_200_msun,halo_radius_200_kpc,halo_concentration_200,v_c_kms,r_turn_arcsec,beta,gamma,rmse_kms,max_abs_residual_kms,outer_to_peak_ratio,outer_drop_kms,current_inference_prior_compatible,current_inference_prior_violations
bt10_re03_dm,0.1,0.3,90000000000.0,10000000000.0,True,300000000000.0,29.302119315904665,4.0,274.9749791950164,0.3585768793740896,0.9785545968995147,3.2075324695112095,1.5632505131117607,6.505657223923038,0.8768712643944088,53.62032614739178,True,
bt10_re06_dm,0.1,0.6,90000000000.0,10000000000.0,True,300000000000.0,29.302119315904665,4.0,303.39670879992235,0.3034587229277484,0.8205213755426323,3.148016536738878,3.566035366890175,15.314305978295891,0.8801587794441401,51.889561924142924,True,
bt25_re03_dm,0.25,0.3,75000000000.0,25000000000.0,True,300000000000.0,29.302119315904665,4.0,348.553684902808,0.1832652819958005,0.9989999999999999,1.4829525986632321,11.453712840687118,31.945952760278033,0.8591380212651241,61.78376077444659,True,
bt25_re06_dm,0.25,0.6,75000000000.0,25000000000.0,True,300000000000.0,29.302119315904665,4.0,286.24977324642595,0.3096449993584246,0.9828581099438809,2.5554883512357853,4.014898148890972,27.851301811658857,0.870438397284755,55.80054960759276,True,
bt50_re03_dm,0.5,0.3,50000000000.0,50000000000.0,True,300000000000.0,29.302119315904665,4.0,376.2215484759408,0.048937714316675776,0.9989999999999999,2.558990647755236,14.85869622501161,55.48562749810685,0.6368584272032435,209.9999510479227,True,
bt50_re06_dm,0.5,0.6,50000000000.0,50000000000.0,True,300000000000.0,29.302119315904665,4.0,329.51071554968036,0.1452085131300062,0.9989999999999999,1.8154625032901963,7.333503409617482,15.600639486793455,0.8269496239488537,76.23522393729422,True,
